Cuenca;Estación;Fecha;Hora;Lluvia (mm)
84;193;01/08/2008;1200;0.0
84;193;01/08/2008;1300;0.0
84;193;01/08/2008;1400;0.0
84;193;01/08/2008;1500;0.0
84;193;01/08/2008;1600;0.0
84;193;01/08/2008;1700;0.0
84;193;01/08/2008;1800;0.0
84;193;01/08/2008;1900;0.0
84;193;01/08/2008;2000;0.0
84;193;01/08/2008;2100;0.0
84;193;01/08/2008;2200;0.0
84;193;01/08/2008;2300;0.0
84;193;01/08/2008;2400;0.0
84;193;02/08/2008;100;0.0
84;193;02/08/2008;200;0.0
84;193;02/08/2008;300;0.0
84;193;02/08/2008;400;0.0
84;193;02/08/2008;500;0.0
84;193;02/08/2008;600;0.0
84;193;02/08/2008;700;0.0
84;193;02/08/2008;800;0.0
84;193;02/08/2008;900;0.0
84;193;02/08/2008;1000;0.0
84;193;02/08/2008;1100;0.0
84;193;02/08/2008;1200;0.0
84;193;02/08/2008;1300;0.0
84;193;02/08/2008;1400;0.0
84;193;02/08/2008;1500;0.0
84;193;02/08/2008;1600;0.0
84;193;02/08/2008;1700;0.0
84;193;02/08/2008;1800;0.0
84;193;02/08/2008;1900;0.0
84;193;02/08/2008;2000;0.0
84;193;02/08/2008;2100;0.0
84;193;02/08/2008;2200;0.0
84;193;02/08/2008;2300;0.0
84;193;02/08/2008;2400;0.0
84;193;03/08/2008;100;0.0
84;193;03/08/2008;200;0.0
84;193;03/08/2008;300;0.0
84;193;03/08/2008;400;0.0
84;193;03/08/2008;500;0.0
84;193;03/08/2008;600;0.0
84;193;03/08/2008;700;0.0
84;193;03/08/2008;800;0.0
84;193;03/08/2008;900;0.0
84;193;03/08/2008;1000;0.0
84;193;03/08/2008;1100;0.0
84;193;03/08/2008;1200;0.0
84;193;03/08/2008;1300;0.0
84;193;03/08/2008;1400;0.0
84;193;03/08/2008;1500;0.0
84;193;03/08/2008;1600;0.0
84;193;03/08/2008;1700;0.0
84;193;03/08/2008;1800;0.0
84;193;03/08/2008;1900;0.0
84;193;03/08/2008;2000;0.0
84;193;03/08/2008;2100;0.0
84;193;03/08/2008;2200;0.0
84;193;03/08/2008;2300;0.0
84;193;03/08/2008;2400;0.0
84;193;04/08/2008;100;0.0
84;193;04/08/2008;200;0.0
84;193;04/08/2008;300;0.0
84;193;04/08/2008;400;0.0
84;193;04/08/2008;500;0.0
84;193;04/08/2008;600;0.0
84;193;04/08/2008;700;0.0
84;193;04/08/2008;800;0.0
84;193;04/08/2008;900;1.8
84;193;04/08/2008;1000;0.0
84;193;04/08/2008;1100;0.0
84;193;04/08/2008;1200;0.0
84;193;04/08/2008;1300;0.0
84;193;04/08/2008;1400;0.0
84;193;04/08/2008;1500;0.0
84;193;04/08/2008;1600;0.0
84;193;04/08/2008;1700;0.0
84;193;04/08/2008;1800;0.0
84;193;04/08/2008;1900;0.0
84;193;04/08/2008;2000;0.0
84;193;04/08/2008;2100;0.0
84;193;04/08/2008;2200;0.0
84;193;04/08/2008;2300;0.0
84;193;04/08/2008;2400;0.0
84;193;05/08/2008;100;0.0
84;193;05/08/2008;200;0.0
84;193;05/08/2008;300;0.0
84;193;05/08/2008;400;0.0
84;193;05/08/2008;500;0.0
84;193;05/08/2008;600;0.0
84;193;05/08/2008;700;0.0
84;193;05/08/2008;800;0.0
84;193;05/08/2008;900;0.0
84;193;05/08/2008;1000;0.0
84;193;05/08/2008;1100;0.0
84;193;05/08/2008;1200;0.0
84;193;05/08/2008;1300;0.0
84;193;05/08/2008;1400;0.0
84;193;05/08/2008;1500;0.0
84;193;05/08/2008;1600;0.0
84;193;05/08/2008;1700;0.0
84;193;05/08/2008;1800;0.0
84;193;05/08/2008;1900;0.0
84;193;05/08/2008;2000;0.0
84;193;05/08/2008;2100;0.0
84;193;05/08/2008;2200;0.0
84;193;05/08/2008;2300;0.0
84;193;05/08/2008;2400;0.0
84;193;06/08/2008;100;0.0
84;193;06/08/2008;200;0.0
84;193;06/08/2008;300;0.0
84;193;06/08/2008;400;0.0
84;193;06/08/2008;500;0.0
84;193;06/08/2008;600;0.0
84;193;06/08/2008;700;0.0
84;193;06/08/2008;800;0.0
84;193;06/08/2008;900;0.0
84;193;06/08/2008;1000;0.0
84;193;06/08/2008;1100;0.0
84;193;06/08/2008;1200;0.0
84;193;06/08/2008;1300;0.0
84;193;06/08/2008;1400;0.0
84;193;06/08/2008;1500;0.0
84;193;06/08/2008;1600;0.0
84;193;06/08/2008;1700;0.0
84;193;06/08/2008;1800;0.0
84;193;06/08/2008;1900;0.0
84;193;06/08/2008;2000;0.0
84;193;06/08/2008;2100;0.0
84;193;06/08/2008;2200;0.0
84;193;06/08/2008;2300;0.0
84;193;06/08/2008;2400;0.0
84;193;07/08/2008;100;0.0
84;193;07/08/2008;200;0.0
84;193;07/08/2008;300;0.0
84;193;07/08/2008;400;0.0
84;193;07/08/2008;500;0.0
84;193;07/08/2008;600;0.0
84;193;07/08/2008;700;0.0
84;193;07/08/2008;800;0.0
84;193;07/08/2008;900;0.0
84;193;07/08/2008;1000;0.0
84;193;07/08/2008;1100;0.0
84;193;07/08/2008;1200;0.0
84;193;07/08/2008;1300;0.0
84;193;07/08/2008;1400;0.0
84;193;07/08/2008;1500;0.0
84;193;07/08/2008;1600;0.0
84;193;07/08/2008;1700;0.0
84;193;07/08/2008;1800;0.0
84;193;07/08/2008;1900;0.0
84;193;07/08/2008;2000;0.0
84;193;07/08/2008;2100;0.0
84;193;07/08/2008;2200;0.0
84;193;07/08/2008;2300;0.0
84;193;07/08/2008;2400;0.0
84;193;08/08/2008;100;0.0
84;193;08/08/2008;200;0.0
84;193;08/08/2008;300;0.0
84;193;08/08/2008;400;0.0
84;193;08/08/2008;500;0.0
84;193;08/08/2008;600;0.0
84;193;08/08/2008;700;0.0
84;193;08/08/2008;800;0.0
84;193;08/08/2008;900;0.0
84;193;08/08/2008;1000;0.0
84;193;08/08/2008;1100;0.0
84;193;08/08/2008;1200;0.0
84;193;08/08/2008;1300;0.0
84;193;08/08/2008;1400;0.0
84;193;08/08/2008;1500;0.0
84;193;08/08/2008;1600;0.0
84;193;08/08/2008;1700;0.0
84;193;08/08/2008;1800;0.0
84;193;08/08/2008;1900;0.0
84;193;08/08/2008;2000;0.0
84;193;08/08/2008;2100;0.0
84;193;08/08/2008;2200;0.0
84;193;08/08/2008;2300;0.0
84;193;08/08/2008;2400;0.0
84;193;09/08/2008;100;0.0
84;193;09/08/2008;200;0.0
84;193;09/08/2008;300;0.0
84;193;09/08/2008;400;0.0
84;193;09/08/2008;500;0.0
84;193;09/08/2008;600;0.0
84;193;09/08/2008;700;0.0
84;193;09/08/2008;800;0.0
84;193;09/08/2008;900;0.0
84;193;09/08/2008;1000;0.0
84;193;09/08/2008;1100;0.0
84;193;09/08/2008;1200;0.0
84;193;09/08/2008;1300;0.0
84;193;09/08/2008;1400;0.0
84;193;09/08/2008;1500;0.0
84;193;09/08/2008;1600;0.0
84;193;09/08/2008;1700;0.0
84;193;09/08/2008;1800;0.0
84;193;09/08/2008;1900;0.0
84;193;09/08/2008;2000;0.0
84;193;09/08/2008;2100;0.0
84;193;09/08/2008;2200;0.0
84;193;09/08/2008;2300;0.0
84;193;09/08/2008;2400;0.0
84;193;10/08/2008;100;0.0
84;193;10/08/2008;200;0.0
84;193;10/08/2008;300;0.0
84;193;10/08/2008;400;0.0
84;193;10/08/2008;500;0.0
84;193;10/08/2008;600;0.0
84;193;10/08/2008;700;0.0
84;193;10/08/2008;800;0.0
84;193;10/08/2008;900;0.0
84;193;10/08/2008;1000;0.0
84;193;10/08/2008;1100;0.0
84;193;10/08/2008;1200;0.0
84;193;10/08/2008;1300;0.0
84;193;10/08/2008;1400;0.0
84;193;10/08/2008;1500;0.0
84;193;10/08/2008;1600;0.0
84;193;10/08/2008;1700;0.0
84;193;10/08/2008;1800;0.0
84;193;10/08/2008;1900;0.0
84;193;10/08/2008;2000;0.0
84;193;10/08/2008;2100;0.0
84;193;10/08/2008;2200;0.0
84;193;10/08/2008;2300;0.0
84;193;10/08/2008;2400;0.0
84;193;11/08/2008;100;0.0
84;193;11/08/2008;200;0.0
84;193;11/08/2008;300;0.0
84;193;11/08/2008;400;0.0
84;193;11/08/2008;500;0.0
84;193;11/08/2008;600;0.0
