Cuenca;Estación;Fecha;Hora;Temperatura (°C);Temp Punto Rocio
84;193;01/08/2008;1200;21.0;-9.0
84;193;01/08/2008;1300;20.8;-9.0
84;193;01/08/2008;1400;24.0;-9.0
84;193;01/08/2008;1500;24.9;-9.0
84;193;01/08/2008;1600;26.4;-9.0
84;193;01/08/2008;1700;26.0;-9.0
84;193;01/08/2008;1800;25.3;-9.0
84;193;01/08/2008;1900;24.9;-9.0
84;193;01/08/2008;2000;24.4;-9.0
84;193;01/08/2008;2100;24.1;-9.0
84;193;01/08/2008;2200;23.8;-9.0
84;193;01/08/2008;2300;23.5;-9.0
84;193;01/08/2008;2400;23.3;-9.0
84;193;02/08/2008;100;22.9;-9.0
84;193;02/08/2008;200;22.5;-9.0
84;193;02/08/2008;300;22.1;-9.0
84;193;02/08/2008;400;21.8;-9.0
84;193;02/08/2008;500;21.5;-9.0
84;193;02/08/2008;600;21.3;-9.0
84;193;02/08/2008;700;21.4;-9.0
84;193;02/08/2008;800;21.8;-9.0
84;193;02/08/2008;900;22.4;-9.0
84;193;02/08/2008;1000;22.9;-9.0
84;193;02/08/2008;1100;23.7;-9.0
84;193;02/08/2008;1200;24.4;-9.0
84;193;02/08/2008;1300;25.1;-9.0
84;193;02/08/2008;1400;24.9;-9.0
84;193;02/08/2008;1500;24.4;-9.0
84;193;02/08/2008;1600;24.0;-9.0
84;193;02/08/2008;1700;23.6;-9.0
84;193;02/08/2008;1800;23.3;-9.0
84;193;02/08/2008;1900;23.0;-9.0
84;193;02/08/2008;2000;22.8;-9.0
84;193;02/08/2008;2100;22.5;-9.0
84;193;02/08/2008;2200;22.3;-9.0
84;193;02/08/2008;2300;22.2;-9.0
84;193;02/08/2008;2400;22.0;-9.0
84;193;03/08/2008;100;21.8;-9.0
84;193;03/08/2008;200;21.6;-9.0
84;193;03/08/2008;300;21.5;-9.0
84;193;03/08/2008;400;21.3;-9.0
84;193;03/08/2008;500;21.1;-9.0
84;193;03/08/2008;600;21.0;-9.0
84;193;03/08/2008;700;21.0;-9.0
84;193;03/08/2008;800;21.3;-9.0
84;193;03/08/2008;900;22.0;-9.0
84;193;03/08/2008;1000;23.1;-9.0
84;193;03/08/2008;1100;24.1;-9.0
84;193;03/08/2008;1200;24.8;-9.0
84;193;03/08/2008;1300;25.2;-9.0
84;193;03/08/2008;1400;26.1;-9.0
84;193;03/08/2008;1500;25.9;-9.0
